No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,임대료,임대료,임대료,임대료,임대료,임대료,임대료
No,지역,지역,지역,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡
1,서울,서울,서울,51.2,51.4,51.4,51.6,51.8,52.2,52.5
2,서울,도심,도심,71.6,71.8,71.8,72.5,72.7,73.1,73.6
3,서울,도심,광화문,91.4,91.6,91.4,91.3,91.4,91.6,92.2
4,서울,도심,남대문,69.6,69.7,69.4,75.6,76.1,76.5,77.0
5,서울,도심,동대문,52.5,52.5,52.9,52.9,53.1,53.1,53.1
6,서울,도심,명동,137.7,139.0,139.5,140.0,141.5,144.2,147.6
7,서울,도심,방산시장,72.9,72.9,72.8,72.8,72.7,72.8,71.3
8,서울,도심,북촌,97.3,97.5,97.4,97.6,98.1,98.7,99.5
9,서울,도심,서촌,43.6,43.7,43.5,43.6,43.9,44.2,44.6
10,서울,도심,시청,95.7,95.8,95.7,95.8,95.8,96.3,96.9
11,서울,도심,을지로,67.9,68.0,67.8,67.9,68.0,68.2,68.7
12,서울,도심,종로,69.3,69.5,69.5,70.1,70.2,70.3,71.0
13,서울,도심,충무로,51.9,52.0,51.5,51.5,51.6,51.7,51.7
14,서울,강남,강남,61.3,61.7,62.0,62.2,63.0,63.7,64.2
15,서울,강남,강남대로,80.3,80.3,80.0,80.4,81.6,84.3,84.7
16,서울,강남,교대역,43.6,43.8,44.0,44.6,45.1,45.3,46.1
17,서울,강남,남부터미널,41.9,42.0,42.2,42.2,42.4,43.0,43.9
18,서울,강남,논현역,67.8,68.2,68.5,68.8,69.0,70.0,70.1
19,서울,강남,도산대로,54.5,54.7,54.7,54.8,55.8,56.0,55.8
20,서울,강남,신사역,70.2,70.4,70.8,70.7,70.8,73.7,74.1
21,서울,강남,압구정,55.9,57.3,58.4,59.0,59.9,60.6,61.3
22,서울,강남,청담,65.1,66.0,66.3,66.5,67.5,68.2,68.7
23,서울,강남,테헤란로,71.6,71.7,71.8,71.9,72.5,72.5,72.9
24,서울,영등포신촌,영등포신촌,46.9,47.0,47.0,47.1,47.4,47.7,48.1
25,서울,영등포신촌,공덕역,59.0,59.2,59.2,59.1,59.3,59.6,59.8
26,서울,영등포신촌,당산역,38.3,38.3,38.3,38.5,39.7,40.9,41.0
27,서울,영등포신촌,동교/연남,55.0,55.2,55.1,55.2,55.5,55.7,56.5
28,서울,영등포신촌,망원역,40.6,40.6,40.6,40.6,40.8,41.0,41.3
29,서울,영등포신촌,신촌/이대,40.9,40.8,40.7,40.8,40.8,40.9,40.7
30,서울,영등포신촌,영등포역,38.0,38.0,38.0,38.0,38.1,38.2,38.3
31,서울,영등포신촌,홍대/합정,60.2,60.5,60.2,60.6,61.0,61.5,62.9
32,서울,기타,기타,44.1,44.2,44.2,44.2,44.3,44.7,45.0
33,서울,기타,가락시장,31.3,31.1,30.9,31.0,31.0,31.5,31.6
34,서울,기타,건대입구,50.4,50.4,50.4,50.3,50.3,50.3,51.4
35,서울,기타,경희대,47.5,47.4,47.3,47.4,47.4,49.3,50.4
36,서울,기타,군자,35.1,35.2,35.2,35.2,35.2,36.5,36.5
37,서울,기타,까치산역,30.6,30.5,30.4,30.4,30.4,31.9,31.8
38,서울,기타,노량진,30.7,30.6,30.4,30.2,30.2,30.3,30.3
39,서울,기타,독산/시흥,31.3,31.3,31.2,31.2,31.3,31.4,31.4
40,서울,기타,뚝섬,56.8,58.1,59.1,59.5,60.5,62.0,63.8
41,서울,기타,목동,40.3,40.3,40.4,40.4,40.4,40.4,40.4
42,서울,기타,미아사거리,40.2,40.1,40.0,39.8,39.7,40.2,40.3
43,서울,기타,불광역,39.7,39.6,39.5,39.4,39.4,39.4,39.3
44,서울,기타,사당,45.1,45.1,45.2,45.3,45.5,47.8,47.9
45,서울,기타,상계역,24.6,24.6,24.5,24.5,24.5,24.8,24.8
46,서울,기타,상봉역,44.8,44.7,44.7,44.6,44.6,44.8,45.6
47,서울,기타,서울대입구역,67.3,67.4,67.3,67.4,67.5,68.4,68.7
48,서울,기타,성신여대,58.2,58.4,58.3,58.4,58.3,58.3,58.3
49,서울,기타,수유,40.2,40.1,40.0,39.1,39.1,39.1,39.6
50,서울,기타,숙명여대,45.3,45.3,45.3,45.4,44.5,44.6,44.9
51,서울,기타,신림역,67.4,67.3,66.9,66.9,67.0,67.7,67.8
52,서울,기타,약수역,75.0,74.9,74.5,74.4,74.3,74.5,74.9
53,서울,기타,연신내,44.7,44.7,44.6,44.6,44.5,44.7,44.7
54,서울,기타,오류동역,55.7,55.7,55.5,55.5,55.5,55.6,55.6
55,서울,기타,왕십리,43.3,43.4,43.5,43.7,43.7,43.8,43.9
56,서울,기타,용산역,37.2,38.1,38.7,39.1,39.6,40.1,40.0
57,서울,기타,이태원,66.9,66.6,66.8,66.9,67.5,68.1,69.0
58,서울,기타,잠실/송파,36.4,36.4,36.5,36.6,36.9,37.0,35.8
59,서울,기타,잠실새내역,33.7,33.7,33.8,33.9,34.1,34.2,34.2
60,서울,기타,장안동,34.4,34.4,34.4,34.5,34.5,34.5,34.5
61,서울,기타,천호,56.0,56.2,56.2,56.3,56.6,56.7,57.2
62,서울,기타,청량리,40.4,40.5,40.5,40.5,40.6,40.6,40.6
63,서울,기타,혜화동,60.8,60.7,60.6,59.5,59.5,60.0,60.3
64,서울,기타,화곡,29.9,29.8,29.8,29.8,29.8,30.1,30.1
